"","gene","DSC_27.readcounts","DSC_28.readcounts","DSC_29.readcounts","DSC_30.readcounts","DSC_31.readcounts","MC_27.readcounts","MC_28.readcounts","MC_29.readcounts","MC_30.readcounts","MC_31.readcounts"
"11941","ENSG00000152977",13,1,0,0,0,0,0,0,0,0
"11942","ENSG00000240804",0,0,0,0,0,0,0,0,0,0
"11943","ENSG00000239661",0,0,0,0,0,0,0,0,0,0
"11944","ENSG00000239922",2,0,0,0,0,0,0,1,0,0
"11945","ENSG00000285798",0,0,0,0,0,0,0,0,0,0
"11946","ENSG00000241131",0,0,0,0,0,0,0,0,0,0
"11947","ENSG00000285660",0,0,0,0,0,0,0,0,0,0
"11948","ENSG00000241792",0,0,0,0,0,0,0,0,0,0
"11949","ENSG00000244650",0,0,0,0,0,0,0,0,0,0
"11950","ENSG00000205412",0,0,1,0,1,0,0,0,0,0
"11951","ENSG00000243347",0,0,0,0,0,0,0,0,0,0
"11952","ENSG00000242440",0,0,0,0,0,0,0,6,0,0
"11953","ENSG00000285557",0,0,0,0,0,0,0,1,0,0
"11954","ENSG00000241993",0,0,0,0,0,0,0,0,0,0
"11955","ENSG00000144891",39,19,0,3,0,1,0,0,0,0
"11956","ENSG00000153002",0,0,0,0,0,1,3,1,0,0
"11957","ENSG00000244089",0,0,0,0,0,0,0,4,0,0
"11958","ENSG00000240521",0,0,0,0,0,0,0,0,0,0
"11959","ENSG00000163751",0,0,0,0,0,0,0,0,0,0
"11960","ENSG00000287198",0,0,0,0,0,0,0,1,0,0
"11961","ENSG00000241627",11,16,11,13,12,11,12,5,4,1
"11962","ENSG00000163754",814,986,895,743,812,1717,1158,954,1346,1122
"11963","ENSG00000071794",907,1206,1150,877,1288,2418,1577,851,1095,1025
"11964","ENSG00000239718",0,0,0,0,0,0,0,0,0,0
"11965","ENSG00000201031",0,0,0,0,0,0,0,0,0,0
"11966","ENSG00000240511",0,0,0,0,0,0,0,0,0,0
"11967","ENSG00000163755",615,712,744,490,765,2833,2166,1103,1701,1564
"11968","ENSG00000047457",0,7,1,2,15,8,7,32,8,20
"11969","ENSG00000286714",0,0,0,0,0,1,3,2,0,1
"11970","ENSG00000240216",0,0,3,0,0,0,0,0,0,1
"11971","ENSG00000244468",0,0,0,0,0,0,0,0,0,0
"11972","ENSG00000163762",1,1,0,0,1,85,16,46,110,75
"11973","ENSG00000243822",0,0,0,0,0,0,0,0,2,0
"11974","ENSG00000169908",41,29,15,11,29,9183,7257,4900,7585,1817
"11975","ENSG00000240541",0,0,0,0,0,4,12,2,4,1
"11976","ENSG00000243885",0,0,0,0,0,2,0,0,0,0
"11977","ENSG00000240246",0,0,0,0,0,0,0,0,0,0
"11978","ENSG00000241929",1,1,0,0,2,0,0,0,0,1
"11979","ENSG00000282502",0,0,0,0,0,0,0,0,0,0
"11980","ENSG00000239408",0,0,0,0,0,0,0,0,0,0
"11981","ENSG00000169903",0,0,1,0,0,1,0,0,0,0
"11982","ENSG00000244503",0,0,0,0,0,1,0,0,0,0
"11983","ENSG00000018408",6838,9925,9110,6198,8166,4056,1997,1907,1968,1799
"11984","ENSG00000252581",1,4,8,4,4,2,0,2,3,0
"11985","ENSG00000241985",20,10,27,26,20,11,2,7,11,11
"11986","ENSG00000241313",12,34,10,27,30,35,18,8,21,20
"11987","ENSG00000114744",1175,1522,1461,1080,1651,1145,711,565,751,627
"11988","ENSG00000206199",0,0,0,4,2,6,18,9,7,6
"11989","ENSG00000251854",0,0,0,0,0,0,0,0,0,0
"11990","ENSG00000082996",1802,2846,2391,1885,2461,3159,1994,1724,2606,1796
"11991","ENSG00000252172",1,0,3,1,0,4,1,0,1,0
"11992","ENSG00000239351",2,3,5,2,7,8,1,6,5,6
"11993","ENSG00000070087",4388,5162,4584,4363,4631,8020,8807,4114,9531,6755
"11994","ENSG00000242791",2,1,0,3,2,4,2,3,3,1
"11995","ENSG00000224831",34,49,30,27,46,29,57,27,22,20
"11996","ENSG00000182000",0,2,6,0,1,2,0,0,0,0
"11997","ENSG00000241947",0,2,0,0,0,0,0,0,0,0
"11998","ENSG00000243944",0,0,0,0,0,1,1,0,3,3
"11999","ENSG00000240477",0,0,1,2,0,0,1,0,0,0
"12000","ENSG00000243321",1,0,0,0,0,0,0,0,0,0
"12001","ENSG00000241143",0,0,0,0,0,0,0,0,0,0
"12002","ENSG00000241048",0,0,0,0,0,0,0,0,0,0
"12003","ENSG00000244541",0,0,0,0,1,0,0,0,0,0
"12004","ENSG00000278234",0,0,0,0,0,0,0,0,0,0
"12005","ENSG00000243550",0,0,0,0,0,0,0,0,0,0
"12006","ENSG00000286501",0,0,1,0,1,3,13,0,1,0
"12007","ENSG00000196428",1247,1087,1136,881,1220,984,909,475,636,735
"12008","ENSG00000120742",4053,3286,3133,2892,2936,3037,2158,1293,1741,1526
"12009","ENSG00000144895",2071,3017,2883,2124,2779,2192,1409,901,1689,1788
"12010","ENSG00000198843",3326,4624,3880,3054,3968,2564,1775,1504,1747,1319
"12011","ENSG00000271711",1,7,2,5,3,2,4,12,5,2
"12012","ENSG00000163645",0,1,6,0,2,0,3,9,3,1
"12013","ENSG00000240137",13,25,24,24,18,12,52,21,33,46
"12014","ENSG00000244668",0,0,0,0,0,0,0,0,0,0
"12015","ENSG00000287688",1,0,3,2,2,3,1,0,1,1
"12016","ENSG00000181788",758,710,675,509,517,532,423,192,276,255
