"","gene","msc_11_S11.readcounts","msc_12_S12.readcounts","msc_13_S13.readcounts","msc_14_S14.readcounts","msc_15_S15.readcounts"
"286","ENSG00000232848",1,0,1,3,0
"287","ENSG00000229305",0,0,0,0,0
"288","ENSG00000227634",0,0,0,0,0
"289","ENSG00000200975",0,0,0,0,0
"290","ENSG00000233645",0,0,0,0,0
"291","ENSG00000251977",0,0,0,0,0
"292","ENSG00000162426",5,8,16,14,20
"293","ENSG00000252254",0,0,0,0,0
"294","ENSG00000142599",2222,1679,2439,2293,2736
"295","ENSG00000232912",0,0,0,0,0
"296","ENSG00000221083",0,0,0,0,0
"297","ENSG00000270282",0,0,0,0,0
"298","ENSG00000234619",5,2,1,3,1
"299","ENSG00000224315",3,0,4,1,1
"300","ENSG00000222511",0,0,0,0,0
"301","ENSG00000226545",0,0,0,0,0
"302","ENSG00000228423",0,0,0,0,0
"303","ENSG00000229716",0,0,0,0,0
"304","ENSG00000074800",21604,19267,14416,16209,14724
"305","ENSG00000274258",0,0,0,0,0
"306","ENSG00000230679",0,1,1,5,0
"307","ENSG00000201725",0,0,0,0,0
"308","ENSG00000238249",2,2,0,2,0
"309","ENSG00000232208",1,0,2,2,2
"310","ENSG00000232663",0,0,0,0,0
"311","ENSG00000131686",0,0,0,0,0
"312","ENSG00000265141",0,0,0,0,0
"313","ENSG00000197241",0,0,0,0,0
"314","ENSG00000142583",5,5,0,9,0
"315","ENSG00000252404",0,0,0,0,0
"316","ENSG00000180758",178,354,208,222,188
"317","ENSG00000228526",209,183,188,209,231
"318","ENSG00000284357",0,0,0,0,0
"319","ENSG00000234546",66,109,101,57,62
"320","ENSG00000049239",1048,1565,1351,1403,1450
"321","ENSG00000171621",1972,1541,2114,2502,2752
"322","ENSG00000284652",16,115,44,22,24
"323","ENSG00000284693",93,229,212,196,169
"324","ENSG00000252956",0,0,0,0,0
"325","ENSG00000235263",1,0,2,0,0
"326","ENSG00000171612",459,570,439,383,307
"327","ENSG00000231181",8,1,0,1,1
"328","ENSG00000188807",1538,1362,1305,1140,1000
"329","ENSG00000171608",4808,5240,4248,5507,5760
"330","ENSG00000179840",0,1,0,0,0
"331","ENSG00000233268",0,0,0,0,0
"332","ENSG00000231789",298,557,604,525,540
"333","ENSG00000171603",7745,7282,11277,8808,10816
"334","ENSG00000271264",0,0,0,0,0
"335","ENSG00000280113",0,0,0,0,1
"336","ENSG00000178585",572,803,1454,738,791
"337","ENSG00000223989",0,0,0,0,0
"338","ENSG00000285701",0,0,0,0,0
"339","ENSG00000162441",840,746,869,981,753
"340","ENSG00000228150",1,3,5,7,2
"341","ENSG00000173614",262,377,369,332,301
"342","ENSG00000202415",0,0,0,1,1
"343","ENSG00000283611",0,0,0,0,0
"344","ENSG00000265521",0,0,0,0,0
"345","ENSG00000241326",0,0,0,0,0
"346","ENSG00000162444",8,13,22,23,29
"347","ENSG00000130939",1294,1481,1994,1461,1896
"348","ENSG00000224340",0,0,0,0,0
"349","ENSG00000233623",0,0,0,1,0
"350","ENSG00000201746",0,0,0,0,0
"351","ENSG00000054523",1911,1890,1634,1728,1729
"352","ENSG00000264881",0,0,0,0,0
"353","ENSG00000199562",0,0,0,0,0
"354","ENSG00000264501",0,0,0,0,0
"355","ENSG00000284735",3,0,1,2,2
"356","ENSG00000284642",5,9,2,8,4
"357","ENSG00000142657",5787,7436,6600,7823,8461
"358","ENSG00000271989",0,0,0,1,0
"359","ENSG00000251503",0,2,5,0,4
"360","ENSG00000175279",66,36,41,50,34
"361","ENSG00000241563",4,3,3,2,7
"362","ENSG00000160049",1270,1573,1648,1333,1396
"363","ENSG00000203469",0,0,0,0,0
"364","ENSG00000142655",779,774,965,859,790
"365","ENSG00000287727",0,0,1,0,0
"366","ENSG00000243267",0,0,0,1,0
"367","ENSG00000130940",2,0,0,2,0
"368","ENSG00000272078",0,0,1,0,0
"369","ENSG00000225158",0,0,0,0,0
"370","ENSG00000175262",11,7,8,9,5
"371","ENSG00000215785",0,0,0,0,0
"372","ENSG00000120948",1666,1492,1427,1618,1221
"373","ENSG00000277726",2,0,0,0,0
"374","ENSG00000009724",24,7,5,17,16
"375","ENSG00000271895",5,5,9,14,14
"376","ENSG00000116649",3013,2540,2577,2605,2487
"377","ENSG00000171824",2525,1969,1969,2275,1816
"378","ENSG00000226849",0,2,0,0,1
"379","ENSG00000230337",3,16,15,9,4
"380","ENSG00000198793",3200,2627,3182,3157,3298
"381","ENSG00000225602",0,0,0,0,0
"382","ENSG00000253086",0,0,0,0,0
"383","ENSG00000171819",0,4,33,9,23
"384","ENSG00000207451",0,0,0,0,0
"385","ENSG00000238173",6,2,7,7,3
"386","ENSG00000120942",634,469,648,638,709
"387","ENSG00000238199",2,1,1,3,0
"388","ENSG00000284646",2,1,1,3,2
"389","ENSG00000224338",0,0,0,0,0
"390","ENSG00000204624",4,2,1,8,3
"391","ENSG00000285833",0,0,0,0,0
"392","ENSG00000235643",0,0,0,0,0
"393","ENSG00000284708",0,0,3,1,0
"394","ENSG00000116661",378,633,997,745,548
"395","ENSG00000132879",1007,951,1278,1113,894
"396","ENSG00000116663",577,392,422,767,519
"397","ENSG00000116670",582,545,630,744,615
"398","ENSG00000162490",5,10,4,3,5
"399","ENSG00000177674",1432,1224,1280,2012,1420
"400","ENSG00000215910",2,4,1,1,0
"401","ENSG00000177553",0,0,0,0,0
"402","ENSG00000177000",1155,1909,1586,1395,1792
"403","ENSG00000011021",1044,894,1187,864,1809
"404","ENSG00000276470",0,0,0,0,0
"405","ENSG00000278852",0,0,0,0,0
"406","ENSG00000175206",4,0,2,4,6
"407","ENSG00000275915",0,0,0,0,0
"408","ENSG00000120937",0,0,1,0,0
"409","ENSG00000224904",0,0,1,0,1
"410","ENSG00000285646",5,13,6,16,2
"411","ENSG00000199347",0,0,0,0,0
"412","ENSG00000201801",0,0,0,0,0
"413","ENSG00000116685",1715,2201,1983,1905,1890
"414","ENSG00000083444",9281,6541,6045,9598,8315
"415","ENSG00000287384",3,3,0,0,1
"416","ENSG00000116688",3419,3388,3637,3537,3206
"417","ENSG00000270914",0,0,0,0,0
"418","ENSG00000116691",473,420,410,660,541
"419","ENSG00000202461",2,0,0,0,0
"420","ENSG00000276869",0,0,0,0,0
"421","ENSG00000243539",0,0,0,0,0
"422","ENSG00000120949",1,0,0,0,0
"423","ENSG00000201135",0,0,0,0,0
"424","ENSG00000227875",0,0,0,0,0
"425","ENSG00000285604",0,0,0,0,0
"426","ENSG00000283789",0,0,0,0,0
"427","ENSG00000028137",187,286,80,38,17
"428","ENSG00000263676",0,0,0,0,0
"429","ENSG00000225196",0,0,0,0,0
"430","ENSG00000252969",0,0,0,0,0
"431","ENSG00000048707",1228,939,1247,1085,1193
"432","ENSG00000239149",1,0,0,0,0
"433","ENSG00000229484",0,0,0,0,0
"434","ENSG00000162496",583,22,27,577,420
"435","ENSG00000221340",0,0,0,0,1
"436","ENSG00000276830",0,0,0,0,0
"437","ENSG00000272482",5,0,0,1,0
"438","ENSG00000204518",2,0,0,0,0
"439","ENSG00000226166",0,0,0,0,0
"440","ENSG00000188984",0,0,0,0,0
"441","ENSG00000157330",0,0,0,1,0
"442","ENSG00000116726",1,0,0,0,0
"443","ENSG00000116721",0,0,0,0,0
"444","ENSG00000228338",0,0,0,0,0
"445","ENSG00000239810",0,0,0,0,0
"446","ENSG00000231103",0,0,0,0,0
"447","ENSG00000179172",6,1,4,8,5
"448","ENSG00000120952",0,0,0,0,0
"449","ENSG00000243073",0,0,0,0,0
"450","ENSG00000187545",0,0,0,0,0
"451","ENSG00000204510",0,0,0,0,0
"452","ENSG00000207434",0,0,0,0,0
"453","ENSG00000234064",0,0,0,0,0
"454","ENSG00000232423",0,0,0,0,0
"455","ENSG00000274178",0,0,0,0,0
"456","ENSG00000274764",0,0,0,0,0
"457","ENSG00000277058",0,0,1,0,0
"458","ENSG00000229571",0,0,0,0,0
"459","ENSG00000277862",0,0,0,0,0
"460","ENSG00000236179",0,0,0,0,0
"461","ENSG00000275774",0,0,0,0,0
"462","ENSG00000229978",0,0,0,0,0
