Gene_id	dsc_1	dsc_3	dsc_5	dsc_7	dsc_9	dsc_2	dsc_4	dsc_6	dsc_8	dsc_10	dsc_27	dsc_28	dsc_29	dsc_30	dsc_31
ENSG00000231702	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000224969	2	1	2	2	1	3	2	0	5	3	10	16	8	7	0
ENSG00000188157	22987	39525	28660	25273	32834	21616	34629	17111	34784	22028	42940	47398	27802	30025	50
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	33	106	65	45	64	68	99	75	69	67	165	232	115	123	0
ENSG00000273443	5	6	3	7	3	6	9	4	12	5	8	16	6	12	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000131591	294	347	354	314	359	367	403	282	359	367	573	582	403	403	1
ENSG00000285812	0	0	0	0	4	2	6	2	0	0	3	4	7	1	0
ENSG00000223823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	1	0	0	1	0	4	0	1	1	0	0	1	0	1	0
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000186891	6	14	11	2	2	17	11	4	8	6	11	7	12	5	0
ENSG00000186827	0	0	2	0	1	1	2	2	3	2	2	1	4	1	0
ENSG00000078808	5100	5998	4902	4419	5274	6917	6088	3921	5427	4716	9236	8927	6140	6483	11
ENSG00000176022	1002	1221	1090	848	1173	1153	1117	756	1262	1038	2126	1798	1297	1366	3
ENSG00000184163	5	3	4	6	6	8	14	5	16	6	37	17	13	32	0
ENSG00000260179	1	7	4	0	1	3	2	3	1	0	12	5	13	12	0
ENSG00000160087	1067	1199	1236	1039	1184	1374	1245	914	1190	1110	2015	1659	1309	1439	2
