"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"ENSG00000005238.19",1616,1897,1929,1478,1364,1387,1728,1635,1468,1587
"ENSG00000005243.10",423,308,274,275,310,281,355,412,331,355
"ENSG00000005249.13",294,328,374,217,266,249,242,155,367,235
"ENSG00000005302.19",516,604,563,536,644,652,650,708,719,579
"ENSG00000005339.14",2123,2799,2724,2731,2832,2168,1797,2437,1995,2480
"ENSG00000005379.17",20,22,17,7,26,31,42,42,39,48
"ENSG00000005381.8",0,0,0,0,0,13,26,45,3,4
"ENSG00000005421.9",0,0,1,0,0,0,0,1,1,0
"ENSG00000005436.14",317,313,344,334,400,203,279,211,197,184
"ENSG00000005448.16",188,246,224,185,212,220,146,223,273,258
"ENSG00000005469.11",181,203,199,175,177,368,379,342,282,228
"ENSG00000005471.17",53,53,24,30,17,83,293,523,607,455
"ENSG00000005483.21",1940,2543,2492,2421,2404,1074,1298,1563,1196,1251
"ENSG00000005486.17",1100,1573,1422,1181,1163,1765,3795,4593,2766,2826
"ENSG00000005513.10",2463,3624,3408,3080,3640,265,63,122,170,418
"ENSG00000005700.15",1493,1493,1623,1648,1524,1851,1616,1177,1520,1421
"ENSG00000005801.18",226,245,304,326,236,231,247,261,241,191
"ENSG00000005810.18",1069,1346,1345,1736,1292,2311,1679,1772,1985,2195
"ENSG00000005812.11",1431,1794,1808,1603,1810,714,603,637,728,648
"ENSG00000005844.18",2,0,2,2,1,4,4,6,0,1
"ENSG00000005882.12",794,1202,866,798,768,794,1006,2134,1396,1330
"ENSG00000005884.18",8987,16440,16038,10583,12510,2199,744,1025,1364,993
"ENSG00000005889.15",582,696,710,682,702,661,541,568,505,473
"ENSG00000005893.15",8832,11408,10013,11112,10643,8501,9522,8527,11030,8588
"ENSG00000005961.19",4,9,1,5,9,3,5,1,1,0
"ENSG00000005981.13",1,3,2,1,1,12,22,7,6,3
"ENSG00000006007.12",2063,2618,2410,1968,2554,2617,3513,3690,3011,2968
"ENSG00000006015.17",440,522,455,334,455,543,686,605,688,568
"ENSG00000006016.11",124,55,26,19,20,0,0,1,1,1
"ENSG00000006025.12",170,269,232,242,224,199,286,517,372,416
"ENSG00000006042.12",1005,842,500,590,782,1714,1904,3008,2509,2053
"ENSG00000006047.13",1,0,1,0,0,8,10,6,8,7
"ENSG00000006059.4",0,0,1,0,0,0,0,0,0,0
"ENSG00000006062.17",197,213,224,228,213,146,167,252,181,152
"ENSG00000006071.14",0,62,0,86,1,0,0,0,2,0
"ENSG00000006116.3",0,0,0,1,0,0,0,0,0,0
"ENSG00000006118.14",2380,3565,2255,1928,2392,4120,2200,3605,4180,6654
"ENSG00000006125.18",6000,7182,7729,6839,7015,7839,8473,10374,9298,9257
"ENSG00000006128.12",963,1222,1612,1467,1868,3,4,11,0,2
"ENSG00000006194.10",444,504,499,438,549,562,766,729,569,548
"ENSG00000006210.7",67,118,44,38,47,179,253,139,225,242
"ENSG00000006282.21",959,996,1000,685,594,2459,3791,2467,2511,2157
"ENSG00000006283.18",82,18,7,4,8,2,1,0,1,0
"ENSG00000006327.13",5005,6197,4949,3689,6053,265,103,45,55,43
"ENSG00000006377.11",39,120,43,61,86,0,0,0,0,0
"ENSG00000006432.15",5,9,5,0,6,108,267,93,81,113
"ENSG00000006451.8",1339,1240,1167,910,1182,1202,1342,1320,1221,1118
"ENSG00000006453.14",32,9,6,6,0,1359,1035,1888,1779,1472
"ENSG00000006459.11",176,217,227,194,182,154,221,256,141,166
"ENSG00000006468.14",803,1084,1171,752,830,292,69,33,115,97
"ENSG00000006530.18",423,540,525,503,518,702,726,909,808,686
"ENSG00000006534.16",750,932,924,839,1010,902,1081,1450,1294,1684
"ENSG00000006555.11",0,0,0,0,0,0,9,0,3,1
"ENSG00000006576.16",675,609,764,640,656,905,1071,668,738,597
"ENSG00000006606.8",1,0,0,0,0,1,0,0,0,0
"ENSG00000006607.14",2467,2942,2873,2468,2838,4527,5569,6042,4701,4594
"ENSG00000006611.16",0,0,0,0,0,0,0,0,0,0
"ENSG00000006625.18",371,389,393,342,338,831,768,742,845,743
"ENSG00000006634.8",191,201,187,217,194,293,193,117,245,151
"ENSG00000006638.11",429,626,459,363,439,27,82,50,44,22
"ENSG00000006652.14",762,903,913,809,963,450,616,388,303,217
"ENSG00000006659.13",0,0,0,0,0,0,0,0,0,0
"ENSG00000006695.12",263,329,329,258,300,406,315,367,414,361
"ENSG00000006704.10",350,558,439,413,496,431,538,672,489,465
"ENSG00000006712.15",1161,1418,1489,1244,1499,1201,1192,1679,1711,1468
"ENSG00000006715.16",1395,1647,1607,1568,1411,2249,2767,3055,2804,2325
"ENSG00000006740.17",16,9,1,4,4,7,4,14,6,8
"ENSG00000006744.19",1117,1358,1378,1116,1279,2245,2390,2205,2281,2113
"ENSG00000006747.15",1,5,9,16,1,36,172,60,35,65
"ENSG00000006756.16",649,786,705,657,788,641,949,1363,1282,1260
"ENSG00000006757.12",48,26,61,62,75,342,619,707,485,355
"ENSG00000006788.14",0,0,0,0,1,0,0,0,0,0
"ENSG00000006831.10",1470,1574,1646,1502,1663,5157,4660,6555,7216,8287
"ENSG00000006837.12",27,25,36,14,21,35,69,47,40,31
"ENSG00000007001.12",0,0,0,0,0,2,8,9,4,0
"ENSG00000007038.11",1,0,2,0,0,0,0,8,9,0
"ENSG00000007047.15",861,1088,1036,838,1002,1295,1487,2302,1944,2049
"ENSG00000007062.11",0,0,0,0,0,42,24,52,56,40
"ENSG00000007080.11",1128,1201,1322,989,1366,1098,1321,1448,1527,1268
"ENSG00000007129.18",0,0,0,1,0,0,0,0,0,0
"ENSG00000007168.13",3959,4668,4915,4459,4797,3424,4299,4204,3701,3305
"ENSG00000007171.18",0,5,0,0,1,15,38,11,6,12
"ENSG00000007174.18",448,584,351,803,796,8,8,10,26,10
"ENSG00000007202.15",4292,4724,4846,4703,4515,5349,5737,6217,6391,7050
"ENSG00000007216.14",0,1,0,0,0,0,1,0,0,0
"ENSG00000007237.18",49295,68851,61548,67626,69989,10202,5795,11544,10351,12739
"ENSG00000007255.10",144,153,182,136,167,253,365,617,591,635
"ENSG00000007264.15",0,0,0,0,0,18,5,0,8,5
"ENSG00000007306.15",0,0,0,0,0,0,0,0,0,0
"ENSG00000007312.12",73,92,94,88,73,392,867,187,202,151
"ENSG00000007314.12",1,0,1,0,1,1,0,0,0,0
"ENSG00000007341.19",299,352,227,414,376,408,295,450,550,317
"ENSG00000007350.17",0,1,1,2,2,2,0,4,4,2
"ENSG00000007372.23",0,0,0,0,0,0,0,0,0,0
"ENSG00000007376.8",418,461,443,422,437,778,573,694,799,881
"ENSG00000007384.15",3488,5117,5414,5050,5066,935,797,1249,1325,1728
"ENSG00000007392.16",391,603,566,639,469,420,326,313,470,344
"ENSG00000007402.11",3,10,3,2,9,14,17,19,13,14
"ENSG00000007516.13",19,51,37,21,38,8,7,11,5,4
"ENSG00000007520.4",876,973,837,644,940,918,1039,1323,1201,1194
"ENSG00000007541.16",1027,1521,1420,1053,1244,1588,1925,2790,2128,2585
"ENSG00000007545.15",739,928,864,810,811,556,618,663,552,653
"ENSG00000007866.21",932,778,953,835,966,389,728,852,703,579
"ENSG00000007908.16",2,0,0,0,0,0,0,0,0,0
"ENSG00000007923.16",1086,1164,1257,1228,1181,2120,1973,2045,2114,1819
"ENSG00000007933.13",0,0,0,0,0,0,0,0,2,1
"ENSG00000007944.15",77,176,135,115,110,257,301,388,389,300
"ENSG00000007952.18",0,0,0,0,0,1,0,1,0,1
"ENSG00000007968.7",17,89,104,76,67,167,0,1,42,24
"ENSG00000008018.9",1673,1929,1999,1609,2010,1999,2890,2396,2337,1921
"ENSG00000008056.14",31,20,12,13,23,5,10,5,17,15
"ENSG00000008083.14",598,772,757,634,631,1325,1188,1395,1232,1094
"ENSG00000008086.12",659,858,653,758,834,194,244,298,308,314
"ENSG00000008118.10",1,0,1,0,0,16,16,32,34,39
"ENSG00000008128.23",233,471,423,422,456,389,596,491,546,554
"ENSG00000008130.15",859,1167,1129,1035,1056,2310,2842,3071,2645,2506
"ENSG00000008196.13",336,310,269,266,218,0,0,0,0,0
"ENSG00000008197.4",0,0,0,0,0,0,0,0,0,0
"ENSG00000008226.20",3,2,4,1,9,12,8,6,4,3
"ENSG00000008256.16",1864,2423,2456,2212,3035,3212,2612,3480,3596,4463
"ENSG00000008277.14",56,141,52,79,88,4,18,16,46,19
"ENSG00000008282.8",1389,1654,1966,1574,1693,1955,2202,1674,1738,1271
"ENSG00000008283.16",615,766,737,616,681,546,736,680,649,653
"ENSG00000008294.21",3521,4796,4396,3998,3657,3111,3458,3349,3714,3590
"ENSG00000008300.17",112,142,156,217,150,98,247,164,90,121
"ENSG00000008311.15",885,1178,1264,1429,1301,794,874,632,881,766
"ENSG00000008323.15",26,22,23,14,17,16,10,4,16,8
"ENSG00000008324.11",118,121,116,124,109,247,308,312,246,217
"ENSG00000008382.15",194,280,269,190,362,183,336,490,379,527
"ENSG00000008394.13",343,54,58,52,89,8716,2287,2945,3298,2511
"ENSG00000008405.12",349,403,339,301,425,330,319,207,339,301
"ENSG00000008438.5",0,0,0,0,0,0,0,0,0,0
"ENSG00000008441.16",4967,5106,5070,4337,4735,2178,2339,2528,1954,2318
"ENSG00000008513.16",770,723,750,794,671,1037,898,812,958,867
"ENSG00000008516.17",2,12,1,3,8,19,23,12,21,17
"ENSG00000008517.16",283,44,154,159,79,1,2,0,3,0
"ENSG00000008710.19",4104,5025,5068,4816,4344,2563,2535,2234,1604,2539
"ENSG00000008735.14",11,12,19,13,17,349,202,244,454,197
"ENSG00000008838.20",1456,1908,2016,1714,1623,2113,2217,2309,2105,2062
"ENSG00000008853.16",657,861,843,641,805,993,1301,1366,1198,1328
"ENSG00000008869.12",429,511,551,571,443,622,651,699,606,584
"ENSG00000008952.17",2536,2744,2723,2627,2738,2683,3643,3468,3032,2163
"ENSG00000008988.9",4802,4600,3947,3151,4205,5850,7219,9898,7990,7750
"ENSG00000009307.16",9190,10833,10469,9434,10028,8676,8975,10020,10139,8755
"ENSG00000009335.18",2234,2294,2489,2001,2290,2960,2568,2289,2302,1881
"ENSG00000009413.15",519,609,671,752,581,1902,1709,1738,1179,1453
"ENSG00000009694.13",1,0,0,2,0,0,0,0,0,0
"ENSG00000009709.12",0,1,0,0,0,1,0,0,0,2
"ENSG00000009724.17",0,0,1,0,0,2,2,0,0,0
"ENSG00000009765.14",0,0,0,0,0,0,0,0,0,0
"ENSG00000009780.15",286,274,275,229,332,331,318,355,426,231
"ENSG00000009790.15",0,0,0,0,0,0,1,0,0,0
"ENSG00000009830.11",1569,1735,1744,1378,1529,978,1244,1481,1397,1433
"ENSG00000009844.16",1264,1380,1307,1174,1375,1647,1902,1754,1618,1126
"ENSG00000009950.16",2,4,4,4,12,1,0,0,0,0
"ENSG00000009954.11",2274,2568,2677,2606,2806,3386,2458,2657,2819,2464
"ENSG00000010017.13",1704,2165,1928,1626,1834,1331,1467,1670,1450,1161
"ENSG00000010030.14",60,70,127,83,91,309,130,179,223,199
"ENSG00000010072.16",295,316,328,300,326,337,405,463,331,289
"ENSG00000010165.20",763,851,932,685,857,1404,1225,1452,1475,1322
"ENSG00000010219.13",266,290,254,264,241,379,359,543,476,410
"ENSG00000010244.18",2509,2991,3002,2687,2863,2974,2666,2530,2842,2205
"ENSG00000010256.11",2693,3006,3369,2566,3071,3151,2876,3276,3596,3906
"ENSG00000010270.13",951,1016,1070,1006,981,1193,1754,1636,1579,1073
"ENSG00000010278.14",9368,15395,11830,11099,13600,4318,4840,9340,3438,3694
"ENSG00000010282.15",0,0,0,0,0,2,2,1,0,0
"ENSG00000010292.13",1287,1800,2030,1559,1720,1836,895,924,1470,1432
"ENSG00000010295.19",367,592,573,573,536,563,876,814,874,938
"ENSG00000010310.9",21,45,30,30,13,5,24,19,17,10
"ENSG00000010318.21",36,57,39,35,34,65,83,55,72,57
"ENSG00000010319.7",269,1281,743,1220,1596,1,0,1,2,2
"ENSG00000010322.16",1918,2810,2564,2511,2302,2226,2624,3263,2406,3103
"ENSG00000010327.10",5,0,4,1,5,9,17,3,0,1
"ENSG00000010361.14",269,298,311,283,338,418,431,611,476,483
"ENSG00000010379.16",0,0,0,2,1,21,23,9,11,2
"ENSG00000010404.18",2873,3493,3278,2631,2989,1349,1861,1982,1892,1553
"ENSG00000010438.16",4,3,10,8,3,1,3,0,3,0
"ENSG00000010539.11",114,91,112,106,100,122,157,167,110,83
"ENSG00000010610.10",2874,2357,2737,2933,1690,103,54,38,54,18
"ENSG00000010626.15",219,299,234,278,213,170,291,354,277,152
"ENSG00000010671.15",0,1,0,0,3,13,27,43,19,17
"ENSG00000010704.18",433,485,536,443,431,461,531,501,627,369
"ENSG00000010803.16",582,703,785,651,648,641,680,1356,1110,1003
"ENSG00000010810.17",4289,5154,5034,5028,5044,1891,2413,2426,2611,2324
"ENSG00000010818.10",990,1034,1080,962,994,779,678,868,661,751
"ENSG00000010932.17",0,0,0,0,0,0,0,0,0,0
"ENSG00000011007.12",1057,913,1046,866,999,2050,2038,1935,1849,1585
"ENSG00000011009.11",909,1014,1303,874,906,2115,1615,2389,2575,2810
"ENSG00000011021.23",1080,1336,1355,797,1764,985,871,1125,838,1720
"ENSG00000011028.14",4323,3481,3444,2877,2727,42,4,6,23,24
"ENSG00000011052.21",202,162,61,103,152,197,159,265,101,179
"ENSG00000011083.9",0,1,0,2,0,0,0,0,0,0
"ENSG00000011105.14",1719,1223,1100,822,919,1117,967,1896,1285,1686
"ENSG00000011114.15",901,1034,1033,1068,957,644,860,871,717,804
"ENSG00000011132.12",332,392,416,345,382,348,396,529,442,501
"ENSG00000011143.16",145,206,192,176,240,260,309,327,305,281
"ENSG00000011198.10",234,292,272,290,278,420,405,315,415,298
"ENSG00000011201.12",56,30,13,6,12,3,123,149,293,338
"ENSG00000011243.18",857,1125,1021,1143,1167,1148,1343,1462,1640,1460
